Price History: SPY-US,,,,,,,
,,,,,,,
Date,SPY Price,NOC Price,MCD Price,,SPY Return,NOC Return,MCD Return
3/31/2025,559.39,512.01,312.37,,-5.86%,10.89%,1.31%
2/28/2025,594.18,461.74,308.33,,-1.27%,-5.24%,6.80%
1/31/2025,601.82,487.27,288.7,,2.69%,3.83%,-0.41%
12/31/2024,586.08,469.29,289.89,,-2.73%,-4.16%,-2.07%
11/29/2024,602.55,489.65,296.01,,5.96%,-3.81%,1.34%
10/31/2024,568.64,509.02,292.11,,-0.89%,-3.61%,-4.07%
9/30/2024,573.76,528.07,304.51,,1.79%,0.93%,5.49%
8/30/2024,563.68,523.21,288.66,,2.34%,8.03%,8.76%
7/31/2024,550.81,484.32,265.4,,1.21%,11.10%,4.14%
6/28/2024,544.22,435.95,254.84,,3.20%,-3.29%,-1.56%
5/31/2024,527.37,450.77,258.89,,5.06%,-7.06%,-5.18%
4/30/2024,501.98,485.03,273.04,,-4.03%,1.33%,-3.16%
3/28/2024,523.07,478.66,281.95,,2.95%,3.83%,-3.53%
2/29/2024,508.08,461.02,292.28,,5.22%,3.19%,-0.15%
1/31/2024,482.88,446.76,292.72,,1.59%,-4.57%,-1.28%
12/29/2023,475.31,468.14,296.51,,4.14%,-1.48%,5.21%
11/30/2023,456.4,475.16,281.84,,9.13%,0.79%,7.50%
10/31/2023,418.2,471.43,262.17,,-2.17%,7.10%,-0.48%
9/29/2023,427.48,440.19,263.44,,-5.08%,1.64%,-6.30%
8/31/2023,450.35,433.09,281.15,,-1.63%,-2.68%,-4.11%
7/31/2023,457.79,445,293.2,,3.27%,-2.37%,-1.75%
6/30/2023,443.28,455.8,298.41,,6.09%,4.66%,4.66%
5/31/2023,417.85,435.49,285.11,,0.46%,-5.59%,-3.60%
4/28/2023,415.93,461.27,295.75,,1.60%,-0.10%,5.77%
3/31/2023,409.39,461.72,279.61,,3.31%,-0.51%,5.95%
2/28/2023,396.26,464.11,263.91,,-2.51%,3.59%,-1.31%
1/31/2023,406.48,448.04,267.4,,6.29%,-17.88%,1.47%
12/30/2022,382.43,545.61,263.53,,-6.19%,2.31%,-3.39%
11/30/2022,407.68,533.29,272.79,,5.56%,-2.86%,0.05%
10/31/2022,386.21,549.01,272.66,,8.13%,16.73%,18.17%
9/30/2022,357.18,470.32,230.74,,-9.62%,-1.60%,-8.54%
