SPY Return,NOC Return,MCD Return
-5.86%,10.89%,1.31%
-1.27%,-5.24%,6.80%
2.69%,3.83%,-0.41%
-2.73%,-4.16%,-2.07%
5.96%,-3.81%,1.34%
-0.89%,-3.61%,-4.07%
1.79%,0.93%,5.49%
2.34%,8.03%,8.76%
1.21%,11.10%,4.14%
3.20%,-3.29%,-1.56%
5.06%,-7.06%,-5.18%
-4.03%,1.33%,-3.16%
2.95%,3.83%,-3.53%
5.22%,3.19%,-0.15%
1.59%,-4.57%,-1.28%
4.14%,-1.48%,5.21%
9.13%,0.79%,7.50%
-2.17%,7.10%,-0.48%
-5.08%,1.64%,-6.30%
-1.63%,-2.68%,-4.11%
3.27%,-2.37%,-1.75%
6.09%,4.66%,4.66%
0.46%,-5.59%,-3.60%
1.60%,-0.10%,5.77%
3.31%,-0.51%,5.95%
-2.51%,3.59%,-1.31%
6.29%,-17.88%,1.47%
-6.19%,2.31%,-3.39%
5.56%,-2.86%,0.05%
8.13%,16.73%,18.17%
-9.62%,-1.60%,-8.54%
-4.08%,-0.19%,-4.21%
9.21%,0.07%,6.68%
-8.64%,2.27%,-2.11%
0.23%,6.50%,1.22%
-8.78%,-1.75%,0.76%
3.44%,1.15%,1.03%
-2.95%,19.53%,-5.66%
-5.27%,-4.44%,-3.22%
4.26%,10.97%,9.60%
-0.80%,-2.36%,-0.39%
7.02%,-0.81%,1.84%
-4.97%,-2.05%,1.54%
2.98%,1.29%,-2.16%
2.44%,-0.11%,5.07%
1.91%,-0.67%,-1.24%
0.66%,3.22%,-0.93%
5.29%,9.52%,5.33%
4.20%,10.96%,8.73%
2.78%,1.76%,-0.82%
-1.02%,-5.94%,-3.14%
3.26%,0.81%,-1.32%
10.88%,4.29%,2.08%
-2.49%,-8.14%,-2.96%
-4.13%,-7.92%,2.80%
6.98%,5.42%,9.90%
5.89%,5.71%,5.32%
1.33%,-8.28%,-0.99%
4.76%,1.37%,-0.66%
12.70%,9.29%,13.43%
-13.00%,-7.99%,-14.84%
-7.92%,-12.21%,-9.25%
-0.04%,8.90%,8.28%
2.40%,-2.22%,1.61%
3.62%,-0.20%,-1.13%
2.21%,-5.95%,-8.39%
1.48%,1.88%,-1.50%
-1.67%,6.45%,3.44%
1.51%,6.95%,1.47%
6.44%,6.55%,4.74%
-6.38%,4.60%,0.35%
4.09%,7.53%,4.04%
1.36%,-7.02%,3.30%
3.24%,5.23%,2.83%
8.01%,12.52%,0.68%
-9.33%,-5.76%,-5.80%
1.85%,-0.79%,6.56%
-6.91%,-17.46%,5.74%
0.14%,6.33%,3.12%
3.19%,-0.67%,2.98%
3.70%,-2.34%,0.54%
0.13%,-5.97%,-2.07%
2.43%,1.62%,-4.44%
0.52%,-7.76%,7.07%
-3.13%,-0.26%,-0.86%
-3.64%,2.79%,-7.83%
5.64%,10.95%,-0.57%
0.70%,-0.16%,0.09%
3.06%,4.02%,3.03%
2.36%,2.71%,6.53%
1.51%,5.70%,-2.06%
0.29%,3.45%,3.11%
2.06%,2.50%,1.29%
0.15%,-0.97%,1.50%
1.41%,5.39%,7.83%
0.99%,3.41%,7.96%
-0.31%,-3.74%,1.54%
3.93%,7.86%,4.14%
1.79%,-1.50%,0.70%
1.43%,-6.84%,2.05%
3.68%,9.02%,5.95%
-1.73%,7.03%,-2.42%
-0.50%,0.89%,-0.26%
0.12%,-2.10%,-1.69%
3.65%,-2.54%,-2.24%
-0.17%,4.52%,-1.41%
1.70%,3.11%,-3.50%
0.39%,4.22%,0.64%
6.18%,2.95%,7.24%
-0.08%,3.87%,-5.32%
-4.98%,-1.99%,4.77%
-2.31%,1.31%,3.49%
0.37%,-0.74%,1.70%
8.51%,13.14%,13.92%
-3.06%,1.35%,3.69%
-6.10%,-5.36%,-4.85%
2.26%,9.07%,5.04%
-2.51%,-0.35%,-0.90%
1.29%,3.34%,-0.64%
