,,,,,,,
,NOC,MCD,LMT,KO,KR,RTX,
Analysis (10Y),0.44,0.61,0.00,0.00,0.00,0.00,
MarketWatch,0.34,0.5,0.36,0.46,0.19,0.78,
Factset (5Y Raw),0.34,0.5,0.37,0.45,0.46,0.78,
Yahoo (5Y Montley),0.19,0.62,0.39,0.45,0.59,0.26,
,,,,,,,
,,,,,,,
,,,,,,,
Correl.Matrix,,,,,,,
,,SPY Return,NOC Return,MCD Return,LMT Return,KO Return,KR
,SPY Return,1,0.323875396,0.552078549,0.442357913,0.494886507,0.304152807
,NOC Return,0.323875396,1,0.391190752,0.777163235,0.381673229,0.180667301
,MCD Return,0.552078549,0.391190752,1,0.477572432,0.643912425,0.184476777
,LMT Return,0.442357913,0.777163235,0.477572432,1,0.47161583,0.211518647
,KO Return,0.494886507,0.381673229,0.643912425,0.47161583,1,0.167580424
,KR,0.304152807,0.180667301,0.184476777,0.211518647,0.167580424,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Covar.Matrix,,,,,,,
,,SPY Return,NOC Return,MCD Return,LMT Return,KO Return,KR
,SPY Return,0.0020018,0.0008853,0.0012199,0.0012085,0.0010217,0.0010327
,NOC Return,0.0008853,0.0037328,0.0011803,0.0028992,0.0010760,0.0008377
,MCD Return,0.0012199,0.0011803,0.0024390,0.0014401,0.0014674,0.0006914
,LMT Return,0.0012085,0.0028992,0.0014401,0.0037283,0.0013288,0.0009802
,KO Return,0.0010217,0.0010760,0.0014674,0.0013288,0.0021292,0.0005868
,KR,0.0010327,0.0008377,0.0006914,0.0009802,0.0005868,0.0057595
